,"Day : 0 - 90"
Revenue,"56,821,743"
"Retail View","20,757,853"
"Wholesales (B2B)","26,611,415"
"Sales E Commerce","901,875"
Services,"8,550,600"
"Research and Development",0
COGS,"23,151,103"
"Trading Profit","33,670,640"
"Operating Expense View","11,558,026"
"Other Income (Loss)",0
"Net Profit","22,112,614"
